candidate,fec_id,office
Alex Padilla,S2CA00955,U.S. Senate
Amy Klobuchar,S6MN00267,U.S. Senate
Angus King,S2ME00109,U.S. Senate
Ben Cardin,S6MD03177,U.S. Senate
Bernie Sanders,S4VT00033,U.S. Senate
Bob Casey,S6PA00217,U.S. Senate
Bob Menendez,S6NJ00289,U.S. Senate
Brian Schatz,S4HI00136,U.S. Senate
Catherine Cortez Masto,S6NV00200,U.S. Senate
Chris Murphy,S2CT00132,U.S. Senate
Chris Van Hollen,S6MD03441,U.S. Senate
Chuck Grassley,S0IA00028,U.S. Senate
Chuck Schumer,S8NY00082,U.S. Senate
Deb Fischer,S2NE00094,U.S. Senate
Debbie Stabenow,S8MI00281,U.S. Senate
Dianne Feinstein,S0CA00199,U.S. Senate
Elizabeth Warren,S2MA00170,U.S. Senate
Jacky Rosen,S8NV00156,U.S. Senate
James Lankford,S4OK00232,U.S. Senate
Jerry Moran,S0KS00091,U.S. Senate
Joe Manchin,S0WV00090,U.S. Senate
John Barraso,S6WY00068,U.S. Senate
John Boozman,S0AR00150,U.S. Senate
John Hoeven,S0ND00093,U.S. Senate
John Kennedy,S4LA00065,U.S. Senate
John Thune,S2SD00068,U.S. Senate
Jon Tester,S6MT00162,U.S. Senate
Josh Hawley,S8MO00160,U.S. Senate
Kevin Cramer,S8ND00120,U.S. Senate
Kirsten Gillibrand,S0NY00410,U.S. Senate
Kyrsten Sinema,S8AZ00197,U.S. Senate
Lisa Murkowski,S4AK00099,U.S. Senate
Maggie Hassan,S6NH00091,U.S. Senate
Marco Rubio,S0FL00338,U.S. Senate
Maria Cantwell,S8WA00194,U.S. Senate
Marsha Blackburn,S8TN00337,U.S. Senate
Martin Heinrich,S2NM00088,U.S. Senate
Mazie Hirono,S2HI00106,U.S. Senate
Michael Bennet,S0CO00211,U.S. Senate
Mike Braun,S8IN00171,U.S. Senate
Mike Crapo,S8ID00027,U.S. Senate
Mike Lee,S0UT00165,U.S. Senate
Mitt Romney,S8UT00176,U.S. Senate
Pat Toomey,S4PA00121,U.S. Senate
Patrick Leahy,S4VT00017,U.S. Senate
Patty Murray,S2WA00189,U.S. Senate
Rand Paul,S0KY00156,U.S. Senate
Richard Blumenthal,S0CT00177,U.S. Senate
Richard Burr,S4NC00089,U.S. Senate
Richard Shelby,S6AL00013,U.S. Senate
Rick Scott,S8FL00273,U.S. Senate
Rob Portman,S0OH00133,U.S. Senate
Roger Wicker,S8MS00196,U.S. Senate
Ron Johnson,S0WI00197,U.S. Senate
Ron Wyden,S6OR00110,U.S. Senate
Roy Blunt,S0MO00183,U.S. Senate
Sheldon Whitehouse,S6RI00221,U.S. Senate
Sherrod Brown,S6OH00163,U.S. Senate
Tammy Baldwin,S2WI00219,U.S. Senate
Tammy Duckworth,S6IL00292,U.S. Senate
Ted Cruz,S2TX00312,U.S. Senate
Tim Kaine,S2VA00142,U.S. Senate
Tim Scott,S4SC00240,U.S. Senate
Todd Young,S6IN00191,U.S. Senate
Tom Carper,S8DE00079,U.S. Senate
Aaron Amede,H0ME01127,U.S. House
Aaron Godfrey,H8OH16090,U.S. House
