cand_fec,first_name,last_name,female
H8AK00140, Alyse,Galvin,TRUE
H8AK00132, Dimitri,Shein,FALSE
H6AK00045, Don,Young,FALSE
H8AL02213, Bobby,Bright,FALSE
H8AL02197, Tabitha,Isner,TRUE
H0AL02087, Martha,Roby,TRUE
H2AL03032, Mike,Rogers,FALSE
H6AL04098, Robert,Aderholt,FALSE
H0AL05163, Mo,Brooks,FALSE
H8AL05190, Peter,Joffrion,FALSE
H4AL06098, Gary,Palmer,FALSE
H4AR02141, French,Hill,FALSE
H8AR02159, Clarke,Tucker,FALSE
H8AR03090, Michael,Kalagias,FALSE
H0AR03055, Steve,Womack,FALSE
H4AR04048, Bruce,Westerman,FALSE
H6AZ01199, Tom,O'halleran,FALSE
H8AZ01237, Tiffany,Shedd,TRUE
H8AZ02151, Ann,Kirkpatrick,TRUE
H4AZ07043, Ruben,Gallego,FALSE
H8AZ08083, Hiral,Tipirneni,TRUE
H8AZ09024, Steve,Ferrara,FALSE
H8AZ09040, Greg,Stanton,FALSE
H8CA04210, Jessica,Morse,TRUE
H0CA19173, Jeff,Denham,FALSE
H8CA10126, Josh,Harder,FALSE
H4CA20082, Jim,Costa,FALSE
H8CA16065, Elizabeth,Heng,TRUE
H6CA20152, Jimmy,Panetta,FALSE
H6CA19113, Tj,Cox,FALSE
H2CA20094, David,Valadao,FALSE
H8CA22139, Andrew,Janz,FALSE
H8CA20059, Devin,Nunes,FALSE
H6CA22125, Kevin,Mccarthy,FALSE
H6CA24303, Salud,Carbajal,FALSE
H4CA24142, Justin,Fareed,FALSE
H8CA24150, Michael Erin,Woody,FALSE
H8CA25074, Katie,Hill,TRUE
H2CA36439, Raul,Ruiz,FALSE
H8CA39174, Gil,Cisneros,FALSE
H8CA39299, Herbert,Lee,FALSE
H8CA45130, Katie,Porter,TRUE
H4CA45097, Mimi,Walters,TRUE
H8CA48035, Harley,Rouda,FALSE
H8CA49090, Kristin,Gaspar,TRUE
H8CA49074, Sara,Jacobs,TRUE
H8CA49066, Paul,Kerr,FALSE
H8CA49058, Mike,Levin,FALSE
H8CA49108, Brian,Maryott,FALSE
H8CA50106, Josh,Butner,FALSE
H8CA52052, Duncan,Hunter,FALSE
H8CA51062, Juan,Hidalgo,FALSE
H2CA52089, Scott,Peters,FALSE
H8CO02160, Joe,Neguse,FALSE
H8CO03218, Karl,Hanlon,FALSE
H8CO03192, Diane,Mitsch-Bush,TRUE
H6CO05159, Doug,Lamborn,FALSE
H8CO05155, Bill,Rhea,FALSE
H8CO05130, Stephany Rose,Spaulding,TRUE
H8CO06138, Mike,Coffman,FALSE
H8CO06229, Jason,Crow,FALSE
H8CT05195, Mary,Glassman,TRUE
