candidate_id,candidate,party,district,current_candidate,cyclecand,primary_results,crpico,fec_id,office,vs_candname,vs_race,vs_racecode,vs_filename,face_url,vs_canddetails,vs_statename,vs_filesize
N00000078,Carolyn B Maloney ,D,NY12,Y,Y,W,I,H2NY14037,NY12,Carolyn Maloney,"U.S. House
",H,USH_NY_CAROLYN_MALONEY.jpg,https://static.votesmart.org/static/canphoto/26978.jpg,"
                Carolyn Maloney

                (Won)

                Democratic
",NEW YORK,4550
N00000153,Richard E Neal ,D,MA01,Y,Y,,I,H8MA02041,MA01,Richard Neal,"U.S. House
",H,USH_MA_RICHARD_NEAL.jpg,https://static.votesmart.org/static/canphoto/26895.jpg,"
                Richard Neal

                (Won)

                Democratic
",MASSACHUSETTS,3639
N00000179,James P McGovern ,D,MA02,Y,Y,,I,H4MA03022,MA02,Jim McGovern,"U.S. House
",H,USH_MA_JIM_MCGOVERN.jpg,https://static.votesmart.org/static/canphoto/552.jpg,"
                Jim McGovern

                (Won)

                Democratic
",MASSACHUSETTS,4290
N00000270,Ed Markey ,D,MAS2,Y,Y,,I,S4MA00028,MAS2,Ed Markey,"U.S. Senate
",S,USS_MA_ED_MARKEY.jpg,https://static.votesmart.org/static/canphoto/26900.jpg,"
                Ed Markey

                (Won)

                Democratic
",MASSACHUSETTS,3934
N00000362,Jack Reed ,D,RIS2,Y,Y,,I,S6RI00163,RIS2,Jack Reed,"U.S. Senate
",S,USS_RI_JACK_REED.jpg,https://static.votesmart.org/static/canphoto/27060.jpg,"
                Jack Reed

                (Won)

                Democratic
",RHODE ISLAND,4296
N00000491,Susan Collins ,R,MES2,Y,Y,W,I,S6ME00159,MES2,Susan Collins,"U.S. Senate
",S,USS_ME_SUSAN_COLLINS.jpg,https://static.votesmart.org/static/canphoto/379.jpg,"
                Susan Collins

                (Won)

                Republican
",MAINE,4521
N00000515,Peter Welch ,D,VT01,Y,Y,W,I,H6VT00160,VT01,Peter Welch,"U.S. House
",H,USH_VT_PETER_WELCH.jpg,https://static.votesmart.org/static/canphoto/51272.jpg,"
                Peter Welch

                (Won)

                Democratic
",VERMONT,3663
N00000575,John B Larson ,D,CT01,Y,Y,W,I,H8CT01046,CT01,John Larson,"U.S. House
",H,USH_CT_JOHN_LARSON.jpg,https://static.votesmart.org/static/canphoto/17188.jpg,"
                John Larson

                (Won)

                Democratic
",CONNECTICUT,4784
N00000615,Rosa L DeLauro ,D,CT03,Y,Y,W,I,H0CT03072,CT03,Rosa DeLauro,"U.S. House
",H,USH_CT_ROSA_DELAURO.jpg,https://static.votesmart.org/static/canphoto/26788.jpg,"
                Rosa DeLauro

                (Won)

                Democratic
",CONNECTICUT,4384
N00000751,Bill Pascrell Jr. ,D,NJ09,Y,Y,W,I,H6NJ08118,NJ09,"Bill Pascrell, Jr.","U.S. House
",H,USH_NJ_BILL_PASCRELL_JR.jpg,https://static.votesmart.org/static/canphoto/478.jpg,"
                Bill Pascrell, Jr.

                (Won)

                Democratic
",NEW JERSEY,3738
N00000781,Frank Pallone Jr. ,D,NJ06,Y,Y,W,I,H8NJ03073,NJ06,"Frank Pallone, Jr.","U.S. House
",H,USH_NJ_FRANK_PALLONE_JR.jpg,https://static.votesmart.org/static/canphoto/26951.jpg,"
                Frank Pallone, Jr.

                (Won)

                Democratic
",NEW JERSEY,4277
N00000939,Jerrold Nadler ,D,NY10,Y,Y,W,I,H2NY17071,NY10,Jerry Nadler,"U.S. House
",H,USH_NY_JERRY_NADLER.jpg,https://static.votesmart.org/static/canphoto/26980.jpg,"
                Jerry Nadler

                (Won)

                Democratic, Working Families
",NEW YORK,4405
N00000990,Patrick McManus ,3,NY16,Y,Y,,O,H8NY15114,NY16,"Patrick McManus, Sr.","U.S. House
",H,USH_NY_PATRICK_MCMANUS_SR.jpg,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/PatrickMcManus.jpeg,"
                Patrick McManus, Sr.

                (Lost)

                Conservative
",NEW YORK,243
N00001102,Nydia M Velazquez ,D,NY07,Y,Y,W,I,H2NY00010,NY07,Nydia Velázquez,"U.S. House
",H,USH_NY_NYDIA_VELÁZQUEZ.jpg,https://static.votesmart.org/static/canphoto/26975.jpg,"
                Nydia Velázquez

                (Won)

                Democratic, Working Families
",NEW YORK,4351
N00001171,Gregory W Meeks ,D,NY05,Y,Y,W,I,H8NY06048,NY05,Gregory Meeks,"U.S. House
",H,USH_NY_GREGORY_MEEKS.jpg,https://static.votesmart.org/static/canphoto/4360.jpg,"
                Gregory Meeks

                (Won)

                Democratic
",NEW YORK,3322
N00001373,Mike Doyle ,D,PA18,Y,Y,W,I,H4PA18131,PA18,"Mike Doyle, Jr.","U.S. House
",H,USH_PA_MIKE_DOYLE_JR.jpg,https://static.votesmart.org/static/canphoto/21853.jpg,"
                Mike Doyle, Jr.

                (Won)

                Democratic
",PENNSYLVANIA,3690
N00001669,Joe Biden ,D,PRES,Y,Y,W,C,P80000722,PRES,,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Official_portrait_of_Vice_President_Joe_Biden.jpg,,,
N00001692,Eleanor Holmes Norton ,D,DC00,Y,Y,W,I,H0DC00058,DC00,Eleanor Norton,"U.S. House
",H,USH_DC_ELEANOR_NORTON.jpg,https://static.votesmart.org/static/canphoto/775.jpg,"
                Eleanor Norton

                (Won)

                Democratic
",DISTRICT OF COLUMBIA,3651
N00001728,Natale Stracuzzi ,3,DC00,Y,Y,,C,H8DC00143,DC00,Lino Stracuzzi,"U.S. House
",H,USH_DC_LINO_STRACUZZI.jpg,https://static.votesmart.org/static/canphoto/137157.jpg,"
                Lino Stracuzzi

                (Lost)

                DC Statehood Green
",DISTRICT OF COLUMBIA,4074
N00001799,Kweisi Mfume ,D,MD07,Y,Y,W,I,H0MD07114,MD07,Kweisi Mfume,"U.S. House
",H,USH_MD_KWEISI_MFUME.jpg,https://static.votesmart.org/static/canphoto/26892.jpg,"
                Kweisi Mfume

                (Won)

                Democratic
",MARYLAND,4361
N00001821,Steny H Hoyer ,D,MD05,Y,Y,W,I,H2MD05155,MD05,Steny Hoyer,"U.S. House
",H,USH_MD_STENY_HOYER.jpg,https://static.votesmart.org/static/canphoto/26890.jpg,"
                Steny Hoyer

                (Won)

                Democratic
",MARYLAND,4956
N00002097,Mark Warner ,D,VAS2,Y,Y,W,I,S6VA00093,VAS2,Mark Warner,"U.S. Senate
",S,USS_VA_MARK_WARNER.jpg,https://static.votesmart.org/static/canphoto/535.jpg,"
                Mark Warner

                (Won)

                Democratic
",VIRGINIA,5611
N00002147,Bobby Scott ,D,VA03,Y,Y,W,I,H6VA01117,VA03,Bobby Scott,"U.S. House
",H,USH_VA_BOBBY_SCOTT.jpg,https://static.votesmart.org/static/canphoto/27117.jpg,"
                Bobby Scott

                (Won)

                Democratic
",VIRGINIA,4686
N00002260,David Price ,D,NC04,Y,Y,W,I,H6NC04037,NC04,David Price,"U.S. House
",H,USH_NC_DAVID_PRICE.jpg,https://static.votesmart.org/static/canphoto/119.jpg,"
                David Price

                (Won)

                Democratic
",NORTH CAROLINA,3985
N00002408,James E Clyburn ,D,SC06,Y,Y,W,I,H2SC02042,SC06,Jim Clyburn,"U.S. House
",H,USH_SC_JIM_CLYBURN.jpg,https://static.votesmart.org/static/canphoto/27066.jpg,"
                Jim Clyburn

                (Won)

                Democratic
",SOUTH CAROLINA,4532
N00002583,Mable Thomas ,D,GA05,Y,Y,,O,H2GA05075,GA05,Mable Thomas,"U.S. House
",H,USH_GA_MABLE_THOMAS.jpg,https://static.votesmart.org/static/canphoto/31832.jpg,"
                Mable Thomas

                (Lost)

                Democratic
",GEORGIA,5262
N00002674,Sanford Bishop ,D,GA02,Y,Y,W,I,H2GA02031,GA02,"Sanford Bishop, Jr.","U.S. House
",H,USH_GA_SANFORD_BISHOP_JR.jpg,https://static.votesmart.org/static/canphoto/26817.jpg,"
                Sanford Bishop, Jr.

                (Won)

                Democratic
",GEORGIA,4744
N00002802,Clay Hill ,I,FL09,Y,Y,,C,H6FL08197,FL09,,,,,NA,,,
N00002884,Alcee L Hastings ,D,FL20,Y,Y,W,I,H2FL23021,FL20,"Alcee Hastings, Sr.","U.S. House
",H,USH_FL_ALCEE_HASTINGS_SR.jpg,https://static.votesmart.org/static/canphoto/26798.jpg,"
                Alcee Hastings, Sr.

                (Won)

                Democratic
",FLORIDA,4451
N00002893,Lois J Frankel ,D,FL21,Y,Y,W,I,H2FL14053,FL21,Lois Frankel,"U.S. House
",H,USH_FL_LOIS_FRANKEL.jpg,https://static.votesmart.org/static/canphoto/8102.jpg,"
                Lois Frankel

                (Won)

                Democratic
",FLORIDA,4167
N00002942,Charlie Crist ,D,FL13,Y,Y,W,I,H6FL13205,FL13,"Charlie Crist, Jr.","U.S. House
",H,USH_FL_CHARLIE_CRIST_JR.jpg,https://static.votesmart.org/static/canphoto/24311.jpg,"
                Charlie Crist, Jr.

                (Won)

                Democratic
",FLORIDA,4503
N00003028,Robert B Aderholt ,R,AL04,Y,Y,W,I,H6AL04098,AL04,Robert Aderholt,"U.S. House
",H,USH_AL_ROBERT_ADERHOLT.jpg,https://static.votesmart.org/static/canphoto/441.jpg,"
                Robert Aderholt

                (Won)

                Republican
",ALABAMA,3821
N00003132,Jim Cooper ,D,TN05,Y,Y,W,I,H2TN05131,TN05,Jim Cooper,"U.S. House
",H,USH_TN_JIM_COOPER.jpg,https://static.votesmart.org/static/canphoto/48891.jpg,"
                Jim Cooper

                (Won)

                Democratic
",TENNESSEE,4579
N00003225,Steve Cohen ,D,TN09,Y,Y,W,I,H6TN09068,TN09,Steve Cohen,"U.S. House
",H,USH_TN_STEVE_COHEN.jpg,https://static.votesmart.org/static/canphoto/24340.jpg,"
                Steve Cohen

                (Won)

                Democratic
",TENNESSEE,5031
