wmpid,full_name,opponents,opponent_names
WMPID21,Jerry Carl,,Jerry Carl
WMPID24,Phyllis Harvey-Hall,WMPID4534|WMPID1038,Phyllis Harvey-Hall|Jonathan Smith|Barry Moore
WMPID27,Terri A Sewell,WMPID2677|WMPID4010,Terri A Sewell|Beatrice Jackson Nichols|Gavin Joesph Goodman
WMPID28,Rick Crawford,WMPID3089|WMPID2895,Rick Crawford|Monte Hodges|Roger Daugherty
WMPID30,Steve Womack,WMPID2651|WMPID1041,Steve Womack|Lauren Hays|Mike Kalagias
WMPID35,Paul Gosar,WMPID3434|WMPID2908|WMPID1048,Paul Gosar|Tanya Contreras Wheeless|Kelly Cooper|Greg Stanton
WMPID2361,Javier Ramos,WMPID2750|WMPID2663|WMPID946,Javier Ramos|Travis Lindberg|Clint William Smith|Andy Biggs
WMPID45,Ami Bera,WMPID46,Ami Bera|Tamika Hamilton
WMPID46,Tamika Hamilton,WMPID45,Ami Bera|Tamika Hamilton
WMPID52,Jay Obernolte,WMPID2967,Jay Obernolte|Derek Marshall
WMPID54,Mark Desaulnier,WMPID2103,Mark Desaulnier|Michael Ernest Kerr
WMPID55,John Garamendi,WMPID2250,John Garamendi|Rudy Recile
WMPID58,Alison Hayden,WMPID775,Alison Hayden|Eric Swalwell
WMPID61,Ritesh Tandon,WMPID870,Ritesh Tandon|Ro Khanna
WMPID62,Rishi Kumar,WMPID4064|WMPID871,Rishi Kumar|Peter Hernandez|Zoe Lofgren
WMPID63,Jeff Gorman,WMPID949,Jeff Gorman|Jimmy Panetta
WMPID67,Mike Garcia,WMPID68,Mike Garcia|Christy Smith
WMPID68,Christy Smith,WMPID67,Mike Garcia|Christy Smith
WMPID70,Adam Schiff,WMPID3032,Adam Schiff|G Maebe A. Girl Pudlo
WMPID3032,G Maebe A. Girl Pudlo,WMPID70,Adam Schiff|G Maebe A. Girl Pudlo
WMPID75,Judy Chu,WMPID2565,Judy Chu|Wesley Phillip Hallman
WMPID78,Mike Cargile,WMPID875,Mike Cargile|Norma Torres
WMPID1835,Paul Irving Jones,WMPID782|WMPID3357,Paul Irving Jones|Linda Sanchez|Eric Ching
WMPID84,Joe Collins,WMPID874,Joe Collins|Ted Lieu
WMPID2428,Christopher Gonzales,WMPID955,Christopher Gonzales|Lou Correa
WMPID87,Darrell Issa,,Darrell Issa
WMPID86,Michelle Steel,WMPID3785,Michelle Steel|Jay Chen
WMPID96,Lauren Boebert,WMPID3205|WMPID3161|WMPID2690|WMPID3843|WMPID5164,Lauren Boebert|Marina Zimmerman|Kristin Elise Skowronski|Adam Frisch|Douglas Van Raam|Richard Tetu
WMPID98,Isaac McCorkle,WMPID1868|WMPID1704|WMPID1309|WMPID878,Isaac McCorkle|Ryan James Mcgonigal|Donna Windholz|Joshua Rodriguez|Ken Buck
WMPID109,Rosa L DeLauro,WMPID111|WMPID4644|WMPID4701,Rosa L DeLauro|Justin Paglino|Amy Fogelstrom Chai|Lesley Denardis
WMPID111,Justin Paglino,WMPID109|WMPID4644|WMPID4701,Rosa L DeLauro|Justin Paglino|Amy Fogelstrom Chai|Lesley Denardis
WMPID115,Eleanor Holmes Norton,WMPID2101|WMPID4991|WMPID1083,Eleanor Holmes Norton|Nelson Rimensnyder|Bruce Powell Majors|Natale Stracuzzi
WMPID5148,David Rogers,WMPID5144|WMPID959|WMPID5139|WMPID1084,David Rogers|Cody Mcnutt|Lisa Blunt Rochester|Scott Walker|Lee Murphy
WMPID4494,Gregory Charles Merk,WMPID1630|WMPID3522|WMPID3719|WMPID4895|WMPID960,Gregory Charles Merk|Rebekah Jones|Bryan Christopher Jones|Margaret Ann Schiller|Mark Lombardo|Matt Gaetz
WMPID122,Al Lawson,WMPID2842|WMPID962|WMPID3937,Al Lawson|Leigha Luna Garner-Lopez|John Rutherford|Lashonda Holloway
WMPID124,Kat Cammack,WMPID3069|WMPID3567|WMPID4215|WMPID2493,Kat Cammack|Danielle Nicole Hawk|Justin James Waters|Manuel Asensio|Tom Beckwith Wells
WMPID127,Gary Koniz,WMPID3921|WMPID1803|WMPID2093|WMPID1812|WMPID2699,Gary Koniz|Erick Javier Aguilar|Anthony Tony Hill|Mara Heather Macie|Aaron Bean|Jon Chuba
WMPID3921,Erick Javier Aguilar,WMPID127|WMPID1803|WMPID2093|WMPID1812|WMPID2699,Gary Koniz|Erick Javier Aguilar|Anthony Tony Hill|Mara Heather Macie|Aaron Bean|Jon Chuba
WMPID136,Daniel Webster,WMPID1834|WMPID163|WMPID4372|WMPID1572|WMPID4830,Daniel Webster|Lateresa Ann Jones|Laura Loomer|Gavriel Eliyahu Soriano|Shante Munns|Kevin Dean Porter
WMPID4347,Sergio Ortiz,WMPID3114|WMPID4733|WMPID2940|WMPID966,Sergio Ortiz|Jose Castillo|Scotty Moore|Adianis Morales|Darren Soto
WMPID3114,Jose Castillo,WMPID4347|WMPID4733|WMPID2940|WMPID966,Sergio Ortiz|Jose Castillo|Scotty Moore|Adianis Morales|Darren Soto
