wmpid,genelect_cd,CurrCand,cand_name,cand_id,cand_office,cand_office_st,cand_office_dist,cand_party_affiliation,cand_incumbent_challenger_open_s,dateadded_cd,office_wapo,result_wapo,primarydate_wapo,trumpe_wapo,gender_wmp,gender_crp,latino_wmp,latino_crp,race_wmp,race_crp1,race_crp2,race_crpmena,hse_cmpt_gen,full_name,first_name,last_name
WMPID21,1,Y,"CARL, JERRY LEE, JR",H0AL01055,H,AL,1,REP,INCUMBENT,6/7/2022,House,Won,24-May,1,M,M,0,N,White,W,NULL,N,0,Jerry Carl,Jerry,Carl
WMPID24,1,Y,"HARVEY-HALL, PHYLLIS",H0AL02202,H,AL,2,DEM,CHALLENGER,6/7/2022,,,,0,F,F,0,n,Black,B,NULL,n,0,Phyllis Harvey-Hall,Phyllis,Harvey-Hall
WMPID27,1,Y,"SEWELL, TERRI A.",H0AL07086,H,AL,7,DEM,INCUMBENT,6/7/2022,,,,0,F,F,0,N,Black,B,NULL,N,0,Terri A Sewell,Terri,Sewell
WMPID28,1,Y,"CRAWFORD, ERIC ALAN RICK",H0AR01083,H,AR,1,REP,INCUMBENT,6/7/2022,House,Won,24-May,1,M,M,0,N,White,W,NULL,N,0,Rick Crawford,Rick,Crawford
WMPID30,1,Y,"WOMACK, STEVE",H0AR03055,H,AR,3,REP,INCUMBENT,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Steve Womack,Steve,Womack
WMPID35,1,Y,"GOSAR, PAUL DR.",H0AZ01259,H,AZ,9,REP,INCUMBENT,6/7/2022,House,-,2-Aug,1,M,M,0,N,White,W,NULL,N,0,Paul Gosar,Paul,Gosar
WMPID40,0,,"WOOD, DANIEL",H0AZ03461,H,AZ,3,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Daniel Wood,Daniel,Wood
WMPID2361,1,Y,"RAMOS, JAVIER",H0AZ05185,H,AZ,5,DEM,CHALLENGER,6/7/2022,,,,0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Javier Ramos,Javier,Ramos
WMPID43,0,,"BARNETT, JOSH",H0AZ07082,H,AZ,1,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Josh Barnett,Josh,Barnett
WMPID44,0,,"MUSCATO, MICHAEL ARCHANGEL",H0AZ08072,H,AZ,8,DEM,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Michael Muscato,Michael,Muscato
WMPID45,1,Y,"BERA, AMERISH",H0CA03078,H,CA,6,DEM,INCUMBENT,6/7/2022,,,,0,M,M,0,N,Asian/Pacific Islander,AP,NULL,N,0,Ami Bera,Ami,Bera
WMPID46,1,Y,"HAMILTON, TAMIKA",H0CA03128,H,CA,6,REP,CHALLENGER,6/7/2022,,,,0,F,F,0,N,Black,B,NULL,N,0,Tamika Hamilton,Tamika,Hamilton
WMPID47,0,,"KENNEDY, BRYNNE",H0CA04175,H,CA,4,DEM,CHALLENGER,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,0,Brynne Kennedy,Brynne,Kennedy
WMPID48,0,,"GIBLIN, SCOTT",H0CA05107,H,CA,5,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,n,White,W,NULL,n,0,Scott Giblin,Scott,Giblin
WMPID49,0,,"BISH, CHRISTINE",H0CA06170,H,CA,6,REP,CHALLENGER,6/7/2022,,,,0,F,F,0,n,White,W,NULL,n,0,Christine Bish,Christine,Bish
