cand_id,wmpid,genelect_cd,CurrCand,cand_name,cand_office,cand_office_st,cand_office_dist,cand_party_affiliation,cand_incumbent_challenger_open_s,dateadded_cd,office_wapo,result_wapo,primarydate_wapo,trumpe_wapo,gender_wmp,gender_crp,latino_wmp,latino_crp,race_wmp,race_crp1,race_crp2,race_crpmena,hse_cmpt_gen,full_name,first_name,last_name,st_dist
H0AL01055,WMPID21,1,Y,"CARL, JERRY LEE, JR",H,AL,1,REP,INCUMBENT,6/7/2022,House,Won,24-May,1,M,M,0,N,White,W,NULL,N,0,Jerry Carl,Jerry,Carl,AL1
H0AL02202,WMPID24,1,Y,"HARVEY-HALL, PHYLLIS",H,AL,2,DEM,CHALLENGER,6/7/2022,"","","",0,F,F,0,n,Black,B,NULL,n,0,Phyllis Harvey-Hall,Phyllis,Harvey-Hall,AL2
H0AL07086,WMPID27,1,Y,"SEWELL, TERRI A.",H,AL,7,DEM,INCUMBENT,6/7/2022,"","","",0,F,F,0,N,Black,B,NULL,N,0,Terri A Sewell,Terri,Sewell,AL7
H0AR01083,WMPID28,1,Y,"CRAWFORD, ERIC ALAN RICK",H,AR,1,REP,INCUMBENT,6/7/2022,House,Won,24-May,1,M,M,0,N,White,W,NULL,N,0,Rick Crawford,Rick,Crawford,AR1
H0AR03055,WMPID30,1,Y,"WOMACK, STEVE",H,AR,3,REP,INCUMBENT,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Steve Womack,Steve,Womack,AR3
H0AZ01259,WMPID35,1,Y,"GOSAR, PAUL DR.",H,AZ,9,REP,INCUMBENT,6/7/2022,House,-,2-Aug,1,M,M,0,N,White,W,NULL,N,0,Paul Gosar,Paul,Gosar,AZ9
H0AZ03461,WMPID40,0,"","WOOD, DANIEL",H,AZ,3,REP,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Daniel Wood,Daniel,Wood,AZ3
H0AZ05185,WMPID2361,1,Y,"RAMOS, JAVIER",H,AZ,5,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Javier Ramos,Javier,Ramos,AZ5
H0AZ07082,WMPID43,0,"","BARNETT, JOSH",H,AZ,1,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Josh Barnett,Josh,Barnett,AZ1
H0AZ08072,WMPID44,0,"","MUSCATO, MICHAEL ARCHANGEL",H,AZ,8,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Michael Muscato,Michael,Muscato,AZ8
H0CA03078,WMPID45,1,Y,"BERA, AMERISH",H,CA,6,DEM,INCUMBENT,6/7/2022,"","","",0,M,M,0,N,Asian/Pacific Islander,AP,NULL,N,0,Ami Bera,Ami,Bera,CA6
H0CA03128,WMPID46,1,Y,"HAMILTON, TAMIKA",H,CA,6,REP,CHALLENGER,6/7/2022,"","","",0,F,F,0,N,Black,B,NULL,N,0,Tamika Hamilton,Tamika,Hamilton,CA6
H0CA04175,WMPID47,0,"","KENNEDY, BRYNNE",H,CA,4,DEM,CHALLENGER,6/7/2022,"","","",0,F,F,0,N,White,W,NULL,N,0,Brynne Kennedy,Brynne,Kennedy,CA4
H0CA05107,WMPID48,0,"","GIBLIN, SCOTT",H,CA,5,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,n,White,W,NULL,n,0,Scott Giblin,Scott,Giblin,CA5
H0CA06170,WMPID49,0,"","BISH, CHRISTINE",H,CA,6,REP,CHALLENGER,6/7/2022,"","","",0,F,F,0,n,White,W,NULL,n,0,Christine Bish,Christine,Bish,CA6
H0CA07137,WMPID50,0,"","PATTERSON, ROBERT BUZZ",H,CA,7,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Buzz Patterson,Buzz,Patterson,CA7
H0CA08135,WMPID52,1,Y,"OBERNOLTE, JAY",H,CA,23,REP,INCUMBENT,6/7/2022,House,Won,7-Jun,1,M,M,0,N,White,W,NULL,N,0,Jay Obernolte,Jay,Obernolte,CA23
H0CA08226,WMPID4333,0,"","GOMEZ, BLANCA",H,CA,8,DEM,CHALLENGER,6/7/2022,"","","",0,F,F,1,Y,Hispanic/Latino,H,NULL,NULL,0,Blanca Gomez,Blanca,Gomez,CA8
