pd_id,ad_id,coder,adsponsortype,row,RecordedDate,NOCODE,NOCODE_TXT,TEXT,VIDEO,IMAGE,LINK,ADREMOVED,NODISCLAIMER,OFFICE1,CAND1,FECID1,TONE1,OFFICE2,CAND2,FECID2,TONE2,OFFICE3,CAND3,FECID3,TONE3,OFFICE4,CAND4,FECID4,TONE4,OFFICE5,CAND5,FECID5,TONE5,OFFICE6,CAND6,FECID6,TONE6,OFFICE7,CAND7,FECID7,TONE7,OFFICE8,CAND8,FECID8,TONE8,MORETHAN8,MORETHAN8_TXT,candnumber,othercand1_mnt,othercand1_pic,othercand1_audio,othercand1_ocr,othercand1_txt,othercand2_mnt,othercand2_pic,othercand2_audio,othercand2_ocr,othercand2_txt,othercand3_mnt,othercand3_pic,othercand3_audio,othercand3_ocr,othercand3_txt,othercand4_mnt,othercand4_pic,othercand4_audio,othercand4_ocr,othercand4_txt,othercand5_mnt,othercand5_pic,othercand5_audio,othercand5_ocr,othercand5_txt,DEMMT,GOPMT,FAVORED,MULTI_FAV,TARGETED,MULTI_TGT,NOCAND,FAV1,FAV2,FAV3,FAV4,FAV5,FAV6,FAV7,FAV8,TGT1,TGT2,TGT3,TGT4,TGT5,TGT6,TGT7,TGT8,DONATE,CONTACT,PURCHASE,GOTV,EVENT,POLL,GATHERINFO,LEARNMORE,PRIMARY_PERSUADE,MENTION1,MENTION33,MENTION3,MENTION4,MENTION5,MENTION6,MENTION7,MENTION8,MENTION15,MENTION16,MENTION17,MENTION19,MENTION21,MENTION23,MENTIONCOMM,MENTIONNEIGH,MENTIONTOGETH,MENTION18,MENTION26,MENTIONWC,MENTIONMC,MENTIONUC,TOC_DRUGS,TOC_ECON,TOC_EDU,TOC_ENVT,TOC_ETHICS,TOC_FOREIGN,TOC_HEALTH,TOC_LAW,TOC_SOCIAL,TOC_OTHER,ISSUE210,ISSUE41,ISSUE54,ISSUE106,ISSUE44,ISSUE33,ISSUE22,ISSUE10,ISSUE11,ISSUE12,ISSUE13,ISSUE20,ISSUE18,ISSUE16,ISSUE217,ISSUE17,ISSUE14,ISSUE215,ISSUE23,ISSUE19,ISSUE15,ISSUE21,ISSUE24,ISSUE50,ISSUE51,ISSUE52,ISSUE80,ISSUE82,ISSUE113,ISSUE83,ISSUE84,ISSUE90,ISSUE91,ISSUE92,ISSUE60,ISSUE61,ISSUE62,ISSUE63,ISSUE64,ISSUE68,ISSUE69,ISSUE66,ISSUE67,ISSUE70,ISSUE71,ISSUE72,ISSUE73,ISSUE74,ISSUE75,ISSUE76,ISSUE65,ISSUE114,ISSUE53,ISSUE59,ISSUE58,ISSUE55,ISSUE110,ISSUE218,ISSUE219,ISSUE220,ISSUE208,ISSUE105,ISSUE116,ISSUE117,ISSUE209,ISSUE40,ISSUE45,ISSUE43,ISSUE42,ISSUE212,ISSUE221,ISSUE200,ISSUE95,ISSUE109,ISSUE30,ISSUE32,ISSUE37,GUNPIC,ISSUE108,ISSUE102,ISSUE56,ISSUE57,ISSUE112,ISSUE31,ISSUE101,ISSUE38,ISSUE39,ISSUE34,ISSUE35,ISSUE36,ISSUE107,ISSUE93,ISSUE111,ISSUE94,ISSUE96,ISSUE98,ISSUE99,ISSUE103,ISSUE104,ISSUE118,ISSUE97,ISSUE97_TXT,CAND1_pic,CAND1_pic_tone,CAND2_pic,CAND2_pic_tone,CAND3_pic,CAND3_pic_tone,CAND4_pic,CAND4_pic_tone,CAND5_pic,CAND5_pic_tone,CAND6_pic,CAND6_pic_tone,CAND7_pic,CAND7_pic_tone,CAND8_pic,CAND8_pic_tone,pic_face,pic_color,pic_otherpeople,pic_oth,pic_oth_txt,PAGENAME_INFO,PAGENAME_INFO_TXT,OTHERNOTES,OTHERNOTES_TXT,PROB_VID_NOCODE,PROB_VID_PARTIAL,PROB_DONTUSE,PROB_SPANISH,PROB_OTH,PROB_QUEST,PROB_OTH_TXT,PROB_QUEST_TXT,NOMINATE,NOMINATE_TXT,page_id,funding_entity,fbcodingset,rec_num,page_name,page_name_url,wmp_office_post090120,wmp_spontype,sponsor_name
,x_3517340794990741,achampeau@wesleyan.edu,not classified,1308,22 Aug 21,, ,Text,,Still images(s),Link(s),,,Down-ballot candidate/governor,Down-ballot candidate/governor,,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,Mentioned in text of the ad,,,Mentioned in on-screen text of video or image,Cole Heisey,,,,, ,,,,, ,,,,, ,,,,, ,"Yes, in a way to show disapproval or opposition",No,One favored candidate,,,,,Down-ballot candidate/governor,,,,,,,,,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law & Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protests/riots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_105310881080766,Cole Mark Heisey,Set of 3K non-cd ads,719,,https://www.facebook.com/105310881080766,,,
,x_1002897576821206,swoodhams@wesleyan.edu,not classified,2086,20 Sep 21,, ,Text,,Still images(s),Link(s),,"""Ad ran without a disclaimer""",President,Donald Trump,P80001571,In a way to show disaproval or opposition,U.S. Senate,Mitch McConnell,S2KY00012,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,"Yes, in a way to show disapproval or opposition",,,,Multiple targeted candidates,,,,,,,,,,Donald Trump,Mitch McConnell,,,,,,,,,,,,,Solicitation of viewers' email/name/information (other than a poll),,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law & Order,Social/Social Welfare Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supreme Court/Judiciary,,,,,,,,,,,,,,,,LGBTQ Issues/Rights,Gender Discrimination (not LGBTQ),,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_1338822066131069,Women's March,Set of 3K non-cd ads,1995,,https://www.facebook.com/1338822066131069,,,
,x_1015329702252595,swedner@wesleyan.edu,not classified,1026,20 Aug 21,, ,Text,,Still images(s),Link(s),,,Down-ballot candidate/governor,Down-ballot candidate/governor,,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,Mentioned in text of the ad,Pictured in image or video,,Mentioned in on-screen text of video or image,Tom Fabricio,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Down-ballot candidate/governor,,,,,,,,,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,Economic Policy,Education/Child Care/Family Leave,,,,,,Social/Social Welfare Issues,"Other/Miscellaneous
(includes: Term Limits, Pledge of Allegiance, Local Issues,",,,,,,,,Taxes,,,,,Employment / Jobs,Business,,,,,,,,,No,Education/Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moral/Family/Religious Values,,,,Seniors (not Medicare),,,,,,,,,,,,,,,Local Issues,,,,Transportation/Infrastructure,,, ,Down-ballot candidate/governor,In a way to show approval or support,,,,,,,,,,,,,,,"Facial expressions (angry, sad, yelling, etc.)",,"Other people included in ad (military, doctor, etc.)",, ,No, ,, ,,,,,,, , ,, ,x_108026493882575,Tom Fabricio for State Representative,Set of 3K non-cd ads,830,,https://www.facebook.com/108026493882575,,,
,x_357213165505075,achampeau@wesleyan.edu,not classified,18,26 Jul 21,, ,Text,Video(s),,Link(s),,,Down-ballot candidate/governor,Down-ballot candidate/governor,,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,Mentioned in text of the ad,Pictured in image or video,,Mentioned in on-screen text of video or image,Jared Nieuwenhuis,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Down-ballot candidate/governor,,,,,,,,,,,,,,,,,,,GOTV efforts (get out the vote),,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,Economic Policy,,,,,,,,,,,,,,,Economy (generic reference),,,,,,Employment / Jobs,,,,,,,,Farming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_101643034789418,Nieuwenhuis For State House,Set of 3K non-cd ads,24,,https://www.facebook.com/101643034789418,,,
,x_1010628719379529,achampeau@wesleyan.edu,not classified,1753,12 Sep 21,, ,Text,,Still images(s),Link(s),"""Ad violates FB's advertising polciies""",,President,Donald Trump,P80001571,In a way to show approval or support,President,Joe Biden,P80000722,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,One targeted candidate,,,Donald Trump,,,,,,,,,Joe Biden,,,,,,,,,Selling of merchandise,,,,,,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_112665503895607,Reign Marketing LLC,Set of 3K non-cd ads,1204,,https://www.facebook.com/112665503895607,,,
,x_338940677168604,swoodhams@wesleyan.edu,not classified,398,10 Aug 21,, ,Text,Video(s),,Link(s),,,President,Joe Biden,P80000722,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Joe Biden,,,,,,,,,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,Economic Policy,,,,,Health/Healthcare,,,,,,,,,,Economy (generic reference),,,,,,Employment / Jobs,,,Union,Minimum Wage/Wages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health Care (not prescription drugs),,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_113651705333681,IBEW PAC,Set of 3K non-cd ads,386,,https://www.facebook.com/113651705333681,,,
,x_684128258858641,zcabrerahern@wesleyan.edu,not classified,1823,12 Sep 21,, ,Text,,Still images(s),Link(s),,,President,Donald Trump,P80001571,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Donald Trump,,,,,,,,,,,,,,,,,,Selling of merchandise,,,,,,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_106973694007283,KagaGear.com,Set of 3K non-cd ads,1331,,https://www.facebook.com/106973694007283,,,
,x_1009896696128493,swoodhams@wesleyan.edu,not classified,2420,28 Sep 21,, ,Text,,Still images(s),Link(s),,"""Ad ran without a disclaimer""",President,Donald Trump,P80001571,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Donald Trump,,,,,,,,,,,,,,,,,,Selling of merchandise,,,,,Invite the viewer to learn more about a group/candidate,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,Donald Trump,Unclear whether support or opposition,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_104856814505092,The Kids Guide,Set of 3K non-cd ads,1357,,https://www.facebook.com/104856814505092,,,
,x_1062114840875025,swoodhams@wesleyan.edu,not classified,2160,21 Sep 21,, ,Text,Video(s),,Link(s),,"""Ad ran without a disclaimer""",U.S. Senate,David Perdue,S4GA11285,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,One targeted candidate,,,,,,,,,,,David Perdue,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health/Healthcare,Law & Order,Social/Social Welfare Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ACA/Obamacare/Health care law, etc.",,,,,,,Outbreaks of infectious disease (incl. Coronavirus),,,,,,,Supreme Court/Judiciary,,,,,,,Abortion,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_75097352707,"Planned Parenthood Southeast Advocates, Inc",Set of 3K non-cd ads,2065,,https://www.facebook.com/75097352707,,,
,x_1003113750188197,mchurch@wesleyan.edu,not classified,3369,15 Nov 21,, ,Text,,Still images(s),Link(s),,,President,Joe Biden,P80000722,In a way to show approval or support,Other national politician,Kamala Harris,WMPID2,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Joe Biden,,,,,,,,,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health/Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health Care (not prescription drugs),,,Medicare,Medicaid,,,,,,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,Joe Biden,Unclear whether support or opposition,Kamala Harris,Unclear whether support or opposition,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_552783291782810,1199 Service Employees Int’l Union Federal Political Action Fund. Not authorized by any candidate or candidate’s committee.,Set of 3K non-cd ads,2591,,https://www.facebook.com/552783291782810,,,
