pd_id,wmptempid,date_wmpcoded,page_name,funding_entity,search_terms,search_type,search_status,search_notes,wmp_office,wmp_spontype_unclear,wmp_spontype,wmp_spontypelong,wmp_grouptype,wmp_govtorcand,wmp_notes,page_name_url,othernotes,needs_further_coding,cand_fav,cand_tar,sponsor_name,sponsor_cmag_2022,sponsor_cmag_2020,sponsor_cmag_2018,wmp_multisponsor,wmp_multiflag,wmp_fbapp,wmpid,pres_fecid,pres_cycle,sen_fecid,sen_cycle,hse_fecid,hse_cycle,sen_state,hse_state,pres_party,sen_party,hse_party,pres_cdstatus,sen_cdstatus,hse_cdstatus,hse_district,db_cycle,db_party,db_id,NIMP_personid,db_cdstatus,db_state,db_office,wmp_pres,wmp_sen,wmp_hse,wmp_gov,wmp_db,cmte_fecid,cmte_party,party_all,matchtype,matchtypemore,disclosure,wmp_disagree,ontv2022_withother,old_name,ontv2022,min_date,sponsor_bywmp,online_advertiser_name,id,typetext_display,outgrptype,outgrptype2,candname,candname2,feccmteid,feccmteid2,catshort,catshort2,pagenamematch,party,party2,party_final,suppopp,suppopp2,mark,notes,amount_spent,number_of_ads,dedupeorgmatch,dbmatch,dbmatch2,blio,blio2,candgender,candgender2,candrace,candrace2,cid,cid2,confidence,discdate,discdate2,disclose,disclose2,ein,ein2,enddate,enddate2,industry,industry2,orgid,orgid2,realcode,realcode2,ultorg,ultorg2,viewpt,viewpt2,viewpt_final,fec_compare,crp_candidate_name,fbentity_2020,type_cmag,type_scsp
pd-158963645688-1,19125,7/22/2022,Mike Quigley,Representative Mike Quigley,"quigley, mike",,Entity is related to a group/cd we care about,,,0,,,,0,,https://www.facebook.com/158963645688,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,MISSING,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-126083628003561-1,11371,11/11/2021,State Senator David Bullard,David Bullard for Senate 2018,senator,,"Not a match, despite search hit",,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/126083628003561,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,.,,,,0,0,0,0,1,,,MISSING,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
pd-46150078821-1,7202,11/11/2021,Glenn Hegar,Glenn Hegar Campaign,,agg report search,,,down ballot,0,campaign,campaign,,1,Running for Texas Comptroller,https://www.facebook.com/46150078821,,1,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,.,,,,0,0,0,0,1,,,MISSING,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
pd-216110882321376-1,12053,11/11/2021,Marty Quinn,Friends of Marty Quinn Senate 2018,senate,,"Not a match, despite search hit",,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/216110882321376,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,.,,,,0,0,0,0,1,,,MISSING,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
pd-154115428751851-1,13550,11/11/2021,Davin Bernstein For Coppell,Davin Bernstein for City Council Place 3,,,"Not a match, despite search hit",,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/154115428751851,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,.,,,,0,0,0,0,1,,,MISSING,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
pd-543188979047875-2,11942,11/11/2021,Steve Newman,Friends of Steve Newman for Senate,senate,,"Not a match, despite search hit",,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/543188979047875,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,.,,,,0,0,0,0,1,,,MISSING,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
pd-855767751461479-1,11873,11/11/2021,Andreas Borgeas,Borgeas for Senate 2022,senate,,"Not a match, despite search hit",,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/855767751461479,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,.,,,,0,0,0,0,1,,,MISSING,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
pd-315011462434889-2,11665,11/11/2021,Mike Testa,Testa for Senate,senate,,"Not a match, despite search hit",,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/315011462434889,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,.,,,,0,0,0,0,1,,,MISSING,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
pd-106032044343137-1,12406,11/11/2021,Elect Derek Bullock - Gulfport City Council,Elect Derek Bullock,,,"Not a match, despite search hit",,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/106032044343137,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,.,,,,0,0,0,0,1,,,MISSING,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
pd-560928264007093-2,7680,11/11/2021,John M. Norwood,John Merrill Norwood,"merrill, john",agg report search,"Not a match, despite search hit",,down ballot,0,campaign,campaign,,1,Polk County IA elected soil and water official.,https://www.facebook.com/560928264007093,,1,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,.,,,,0,0,0,0,1,,,MISSING,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
