advertiser_id,advertiser_namex,advertiser_name,public_ids_list,date_wmpcoded,search_status,sponsor_name,sponsor_cmag,wmp_spontype,wmp_govtorcand,wmp_grouptype,wmp_groupflag,wmp_multisponsor,wmp_office,ontv2022,cand_fav,wmpid,sen_fecid,sen_cycle,sen_state,sen_party,sen_cdstatus,hse_fecid,hse_cycle,hse_state,hse_district,hse_party,hse_cdstatus,db_state,wmp_sen,wmp_hse,wmp_gov,wmp_db,type_cmag,type_scsp,wmptempid,wmp_spontype_new,search_status_new,party_all_new,regions,elections,party_all,Party_abbrev,wmp_notes,advertiser_namey,COMMID,EIN,Committee_Name,Jurisdiction,per_Website,com_Website,R_type,N_type,FirstLast,Prefix,Firstname,MiddleName,Lastname,Suffix,Party_Name,disclose,vw_pt,advertiser_name63,s_09042022to111122,s_011021to111222,codedbywmp,onlycodedbyOS,onlyingooglespend,updated_011725,unmatchedv2,cand_id,notes,matchto_adidmap,old_name,new_name,matchto_oldadidmap,source,cmag_sponsor,wmp_candidate,cmte_id,cmte_nm,advertiser_id_tomerge,advertiser_ids
AR00000475401340059649,VINCE LEACH FOR SENATE,Vince Leach for Senate,Registered in US-AZ 201800061,02sep2022,NA,"LEACH, VINCE","LEACH, VINCE",campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,AZ,0,0,0,1,0,0,46,NA,NA,,NA,NA,REP,,,VINCE LEACH FOR SENATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Vince Leach for Senate,0,10400,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR00000475401340059649,AR00000475401340059649|AR560940252324167680
AR00008638175664668673,TINA SMITH FOR MINNESOTA,TINA SMITH FOR MINNESOTA,FEC ID C00663781,13sep2022,2,"SMITH, TINA","SMITH, TINA",campaign,1,NA,0,0,us senate - other cycle,NA,"SMITH, TINA",WMPID1539,,2026,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,469,NA,NA,,NA,NA,DEM,DEM,,TINA SMITH FOR MINNESOTA,C00663781,NA,TINA SMITH FOR MINNESOTA,US,https://www.fec.gov/data/candidate/S8MN00578/?cycle=2018&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00663781,Senate,Candidate,NA,NA,Tina,NA,Smith,NA,Democratic,NA,NA,TINA SMITH FOR MINNESOTA,0,200,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR00008638175664668673,AR00008638175664668673|AR150782626586689536
AR00013006535361822721,NICK LALOTA FOR CONGRESS,NICK LALOTA FOR CONGRESS,FEC ID C00806018,13sep2022,1,"NICK, LALOTA","NICK, LALOTA",campaign,1,NA,0,0,us house,NA,"NICK, LALOTA",WMPID3959,,NA,NA,,NA,H2NY01190,NA,NY,1,REP,OPEN,NA,0,1,0,NA,0,0,867,NA,NA,,NA,NA,REP,REP,,NICK LALOTA FOR CONGRESS,C00806018,NA,LALOTA FOR CONGRESS,US,https://www.fec.gov/data/candidate/H2NY01190/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00806018,House,Candidate,NA,NA,Nick,NA,LaLota,NA,Republican,NA,NA,NICK LALOTA FOR CONGRESS,0,7500,1,,,,,H2NY01190,,Matched (3),,,Master only (1),,,,C00806018,LALOTA FOR CONGRESS,AR00013006535361822721,AR00013006535361822721|AR304039944609857536
AR00015213186479292417,NA,Tom Lackey For Assembly 2012,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Tom Lackey For Assembly 2012,NA,NA,LACKEY FOR ASSEMBLY 2018,CA,https://www.followthemoney.org/entity-details?eid=11023291,NA,State Lower Chamber,Candidate,NA,NA,Tom,NA,Lackey,NA,,NA,NA,Tom Lackey For Assembly 2012,500,500,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR00015213186479292417,AR00015213186479292417
AR00017645374919409665,DEMOCRATIC PARTY OF OREGON,Democratic Party of Oregon,FEC ID C00188367,31oct2022,NA,DEMOCRATIC PARTY OF OREGON,NA,party,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,OR,0,0,0,NA,0,0,2815,party,NA,DEM,US,NA,DEM,DEM,,Democratic Party of Oregon,C00188367,NA,DEMOCRATIC PARTY OF OREGON,OR,NA,https://www.fec.gov/data/committee/C00188367,Party - qualified,Party,NA,NA,NA,NA,NA,NA,Democratic,Y,L,Democratic Party of Oregon,48300,48600,1,,,,,,,Matched (3),DEMOCRATIC PARTY OF OREGON,Democratic Party of Oregon,Matched (3),,,,,,AR00017645374919409665,AR00017645374919409665|AR11949423651192832
AR00030488220487647233,Isaac Flaum,Isaac Flaum,NA,17oct2022,NA,ISAAC FLAUM,NA,unclear could be campaign,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,2420,unclear could be campaign,NA,,NA,NA,,,,Isaac Flaum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Isaac Flaum,0,200,1,,,,,,,Master only (1),,,Master only (1),,,,,,AR00030488220487647233,AR00030488220487647233
AR00032000598731653121,HARRISON FOR CONGRESS,HARRISON FOR CONGRESS,FEC ID C00770784,13sep2022,1,"HARRISON, BRIAN E","HARRISON, BRIAN",campaign,1,NA,0,0,us house,NA,"HARRISON, BRIAN E",WMPID2400,,NA,NA,,NA,H2TX06269,NA,TX,6,REP,OPEN,NA,0,1,0,NA,0,0,542,NA,NA,,NA,NA,REP,REP,,HARRISON FOR CONGRESS,C00770784,NA,HARRISON FOR CONGRESS,US,https://www.fec.gov/data/candidate/H2TX06269/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00770784,House,Candidate,NA,NA,Brian,NA,Harrison,NA,Republican,NA,NA,HARRISON FOR CONGRESS,0,1500,1,,,,,H2TX06269,,Matched (3),,,Master only (1),,,,,,AR00032000598731653121,AR00032000598731653121|AR512889223368409088
AR00035659773428891649,BEACHSIDE MEDIA INC,BEACHSIDE MEDIA INC,EIN ID 81-3216842,17oct2022,NA,BEACHSIDE MEDIA INC,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,2178,group,NA,,NA,NA,,,,BEACHSIDE MEDIA INC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,BEACHSIDE MEDIA INC,9200,134500,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR00035659773428891649,AR00035659773428891649|AR24814465610416128
AR00036303262609047553,NA,CALVIN SCHRAGE,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,IND,,,CALVIN SCHRAGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CALVIN SCHRAGE,4500,4500,,1,,1,,,,Matched (3),,,Master only (1),,,,,,AR00036303262609047553,AR00036303262609047553|AR388465910588899328
AR00037003582796464129,NA,HEIDI GUNDERSON COMMITTEE TO ELECT FOR HOUSE,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,HEIDI GUNDERSON COMMITTEE TO ELECT FOR HOUSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,HEIDI GUNDERSON COMMITTEE TO ELECT FOR HOUSE,2100,2100,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR00037003582796464129,AR00037003582796464129
AR00038755998172708865,NA,Hart for DuPage,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Hart for DuPage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Hart for DuPage,10500,11400,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR00038755998172708865,AR00038755998172708865
AR00042500385021100033,NA,ERIK OLSEN WI2,NA,NA,NA,"OLSEN, ERIK",NA,campaign,NA,NA,NA,NA,us house,NA,NA,WMPID4549,,NA,NA,,NA,H2WI02181,NA,NA,NA,REP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,REP,REP,,ERIK OLSEN WI2,C00811729,NA,ERIK OLSEN WI2,US,https://www.fec.gov/data/candidate/H2WI02181/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00811729,House,Candidate,NA,NA,Erik,NA,Olsen,NA,Republican,NA,NA,ERIK OLSEN WI2,9200,9200,,1,,1,,H2WI02181,,Master only (1),,,Master only (1),,,,C00811729,ERIK OLSEN WI2,AR00042500385021100033,AR00042500385021100033
AR00050014997241135105,FOUNDATION FOR INCLUSIVE URBANISM,FOUNDATION FOR INCLUSIVE URBANISM,Registered in US-CA,17oct2022,NA,FOUNDATION FOR INCLUSIVE URBANISM,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,CA,0,0,0,NA,0,0,1688,group,NA,,NA,NA,,,,FOUNDATION FOR INCLUSIVE URBANISM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,FOUNDATION FOR INCLUSIVE URBANISM,0,2700,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR00050014997241135105,AR00050014997241135105|AR423873724056338432
AR00053674171938373633,MIKIE SHERRILL FOR CONGRESS,Mikie Sherrill For Congress,FEC ID C00640003,13sep2022,1,"SHERRILL, MIKIE","SHERRILL, MIKIE",campaign,1,NA,0,0,us house,NA,"SHERRILL, MIKIE",WMPID1182,,NA,NA,,NA,H8NJ11142,NA,NJ,11,DEM,INCUMBENT,NA,0,1,0,NA,0,0,598,NA,NA,,NA,NA,DEM,DEM,,MIKIE SHERRILL FOR CONGRESS,C00640003,NA,MIKIE SHERRILL FOR CONGRESS,US,https://www.fec.gov/data/candidate/H8NJ11142/?cycle=2018&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00640003,House,Candidate,NA,NA,Mikie,NA,Sherrill,NA,Democratic,NA,NA,Mikie Sherrill For Congress,50000,73100,1,,,,,H8NJ11142,,Matched (3),,,Master only (1),,,,C00640003,MIKIE SHERRILL FOR CONGRESS,AR00053674171938373633,AR00053674171938373633|AR3474456743772160
AR00054518596868505601,NA,CAITLIN CAHILL FOR MINNESOTA HOUSE,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,CAITLIN CAHILL FOR MINNESOTA HOUSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CAITLIN CAHILL FOR MINNESOTA HOUSE,3000,3000,,1,,1,,,,Matched (3),,,Master only (1),,,,,,AR00054518596868505601,AR00054518596868505601|AR67247711702745088
AR00062681371193114625,MORGAN MEYER FOR TEXAS,MORGAN MEYER FOR TEXAS,EIN ID 46-3137801,31oct2022,NA,MORGAN MEYER FOR TEXAS,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,TX,0,0,0,1,0,0,3213,campaign,NA,,US,NA,REP,,,MORGAN MEYER FOR TEXAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,MORGAN MEYER FOR TEXAS,21600,28400,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR00062681371193114625,AR00062681371193114625|AR53772509509582848
AR00063525796123246593,MOVEON.ORG POLITICAL ACTION,MOVEON.ORG POLITICAL ACTION,NA,02sep2022,1,MOVEON.ORG POLITICAL ACTION,MOVEON.ORG POLITICAL ACTION,group,0,NA,1,0,,1,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,0,1,0,55,NA,NA,,NA,NA,DEM,,,MOVEON.ORG POLITICAL ACTION,C00341396,NA,MOVEON.ORG POLITICAL ACTION,AZ,NA,https://www.fec.gov/data/committee/C00341396,Hybrid PAC (with Non-Contribution Account) - Qualified,Independent Spender,NA,NA,NA,NA,NA,NA,,Y,L,MOVEON.ORG POLITICAL ACTION,278900,296000,1,,,,,,,Matched (3),,,Master only (1),,MOVEON.ORG,,,,AR00063525796123246593,AR00063525796123246593|AR388437666883960832
AR00064797931076583425,NA,Ellen Weaver,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Ellen Weaver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ellen Weaver,0,2400,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR00064797931076583425,AR00064797931076583425
AR00067268808582103041,NA,MICHELLE BECKLEY FOR LT GOV,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,MICHELLE BECKLEY FOR LT GOV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,MICHELLE BECKLEY FOR LT GOV,0,700,,1,,1,,,,Matched (3),,,Master only (1),,,,,,AR00067268808582103041,AR00067268808582103041|AR3328324776493056
AR00068029395750617089,BEN DIAMOND FOR CONGRESS,BEN DIAMOND FOR CONGRESS,FEC ID C00779058,13sep2022,1,"DIAMOND, BEN","DIAMOND, BEN",campaign,1,NA,0,0,us house,NA,"DIAMOND, BEN",WMPID3958,,NA,NA,,NA,H2FL13220,NA,FL,13,DEM,OPEN,NA,0,1,0,NA,0,0,477,NA,NA,,NA,NA,DEM,DEM,,BEN DIAMOND FOR CONGRESS,C00779058,NA,BEN DIAMOND FOR CONGRESS,US,https://www.fec.gov/data/candidate/H2FL13220/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00779058,House,Candidate,NA,NA,Ben,NA,Diamond,NA,Democratic,NA,NA,BEN DIAMOND FOR CONGRESS,0,800,1,,,,,H2FL13220,,Matched (3),,,Master only (1),,,,,,AR00068029395750617089,AR00068029395750617089|AR149255714173353984
AR00068171782506414081,Ryan O'Daniel,Ryan O'Daniel,NA,17oct2022,NA,RYAN O'DANIEL,NA,unclear could be campaign,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,1613,unclear could be campaign,NA,,NA,NA,,,,Ryan O'Daniel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ryan O'Daniel,0,500,1,,,,,,,Master only (1),,,Master only (1),,,,,,AR00068171782506414081,AR00068171782506414081
AR00069070839420551169,NA,VERMONT FOR REPRODUCTIVE LIBERTY BALLOT COMMITTEE,NA,NA,NA,NA,NA,group,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,VERMONT FOR REPRODUCTIVE LIBERTY BALLOT COMMITTEE,NA,NA,VERMONT FOR REPRODUCTIVE LIBERTY,VT,https://www.followthemoney.org/entity-details?eid=55505003,NA,NA,Ballot,NA,NA,NA,NA,NA,NA,,NA,NA,VERMONT FOR REPRODUCTIVE LIBERTY BALLOT COMMITTEE,8600,8600,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR00069070839420551169,AR00069070839420551169
AR00071688570447855617,CORI BUSH FOR CONGRESS,CORI BUSH FOR CONGRESS,FEC ID C00638767,13sep2022,1,"BUSH, CORI","BUSH, CORI",campaign,1,NA,0,0,us house,NA,"BUSH, CORI",WMPID1159,,NA,NA,,NA,H8MO01143,NA,MO,1,DEM,INCUMBENT,NA,0,1,0,NA,0,0,443,NA,NA,,NA,NA,DEM,DEM,,CORI BUSH FOR CONGRESS,C00638767,NA,CORI BUSH FOR CONGRESS,US,https://www.fec.gov/data/candidate/H8MO01143/?cycle=2020&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00638767,House,Candidate,NA,NA,Cori,NA,Bush,NA,Democratic,NA,NA,CORI BUSH FOR CONGRESS,600,1200,1,,,,,H8MO01143,,Matched (3),,,Master only (1),,,,C00638767,CORI BUSH FOR CONGRESS,AR00071688570447855617,AR00071688570447855617|AR532244098350841856
AR00072397755447771137,COMMITTEE FOR MIKE MARSICANO,COMMITTEE FOR MIKE MARSICANO,FEC ID C00807750,13sep2022,1,"MARSICANO, MICHAEL","MARSICANO, MIKE",campaign,1,NA,0,0,us house,NA,"MARSICANO, MICHAEL",WMPID4231,,NA,NA,,NA,H6PA11073,NA,PA,8,REP,CHALLENGER,NA,0,1,0,NA,0,0,699,NA,NA,,NA,NA,REP,REP,,COMMITTEE FOR MIKE MARSICANO,C00807750,NA,COMMITTEE FOR MIKE MARSICANO,US,https://www.fec.gov/data/candidate/H2PA08169/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00807750,House,Candidate,NA,NA,Michael,NA,Marsicano,NA,Republican,NA,NA,COMMITTEE FOR MIKE MARSICANO,0,13400,1,,,,,H6PA11073,,Matched (3),,,Master only (1),,,,,,AR00072397755447771137,AR00072397755447771137|AR1741866936565760
AR00077564291867213825,NA,Kevin P. Keene,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Kevin P. Keene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Kevin P. Keene,400,400,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR00077564291867213825,AR00077564291867213825
AR00081540194632728577,GRAVIS MARKETING INC,GRAVIS MARKETING INC,Registered in US-FL P10000035711,17oct2022,NA,GRAVIS MARKETING INC,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,FL,0,0,0,NA,0,0,1148,group,NA,,NA,NA,,,,GRAVIS MARKETING INC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,GRAVIS MARKETING INC,0,3900,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR00081540194632728577,AR00081540194632728577|AR117101493051457536
AR00086043794260099073,MALCOLM PAC,MALCOLM PAC,FEC ID C00769901,13sep2022,1,"KENYATTA, MALCOLM","KENYATTA, MALCOLM",campaign,1,NA,0,0,us senate,NA,"KENYATTA, MALCOLM",WMPID3718,S2PA00398,NA,PA,DEM,OPEN,,NA,NA,NA,,NA,NA,1,0,0,NA,0,0,612,NA,NA,,NA,NA,DEM,DEM,,MALCOLM PAC,C00769901,NA,MALCOLM PAC,US,https://www.fec.gov/data/candidate/S2PA00398/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00769901,Senate,Candidate,NA,NA,Malcolm,NA,Kenyatta,NA,Democratic,NA,NA,MALCOLM PAC,0,18600,1,,,,,S2PA00398,,Matched (3),,,Master only (1),,,,,,AR00086043794260099073,AR00086043794260099073|AR265063700514209792
AR00088577000331018241,NA,Friends of Kori Haynes,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Friends of Kori Haynes,NA,NA,"HAYNES, KORI",NA,NA,NA,NA,NA,NA,NA,Kori,NA,Haynes,NA,,NA,NA,Friends of Kori Haynes,1700,1700,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR00088577000331018241,AR00088577000331018241
AR00090547393887469569,"ADVERTISEMINT, INC.","ADVERTISEMINT, INC.",EIN ID 46-5550293,17oct2022,NA,"ADVERTISEMINT, INC.",NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,1870,group,NA,,NA,NA,,,,"ADVERTISEMINT, INC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,"ADVERTISEMINT, INC.",0,1100,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR00090547393887469569,AR00090547393887469569|AR144788020472578048
AR00095050993514840065,AMERICAN PATRIOTS PAC,AMERICAN PATRIOTS PAC,NA,02sep2022,1,AMERICAN PATRIOTS PAC,AMERICAN PATRIOTS PAC,group,0,NA,1,0,,1,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,0,1,1,227,NA,NA,,NA,NA,REP,,,AMERICAN PATRIOTS PAC,C00668905,NA,AMERICAN PATRIOTS PAC,US,NA,https://www.fec.gov/data/committee/C00668905,Independent expenditure-only (Super PACs),Independent Spender,NA,NA,Jason,NA,Church,NA,,Y,C,AMERICAN PATRIOTS PAC,21300,46300,1,,,,,,,Matched (3),,,Master only (1),,AMERICAN PATRIOTS PAC,,,,AR00095050993514840065,AR00095050993514840065|AR156209815981391872
AR00098794005973696513,Jeremy for Georgia,Jeremy for Georgia,EIN ID 87-4343994,31oct2022,NA,"HUNT, JEREMY","HUNT, JEREMY",campaign,1,NA,0,0,us house,NA,"HUNT, JEREMY",WMPID3313,,NA,NA,,NA,H2GA02189,2022,GA,2,REP,CHALLENGER,NA,0,1,0,NA,0,0,3380,campaign,NA,,US,NA,REP,REP,,Jeremy for Georgia,C00800599,NA,JEREMY FOR GEORGIA,US,https://www.fec.gov/data/candidate/H2GA02189/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00800599,House,Candidate,NA,NA,Jeremy,NA,Hunt,NA,Republican,NA,NA,Jeremy for Georgia,0,14900,1,,,,,H2GA02189,,Matched (3),,,Master only (1),,,,,,AR00098794005973696513,AR00098794005973696513|AR471067718057984000
AR00103971331350986753,OHIO LEADS INC,OHIO LEADS INC,NA,02sep2022,1,"OHIO LEADS, INC.","OHIO LEADS, INC.",group,0,NA,1,0,,1,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,0,1,0,311,NA,NA,,NA,NA,REP,,,OHIO LEADS INC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,OHIO LEADS INC,0,16200,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR00103971331350986753,AR00103971331350986753|AR120978405410734080
AR00108266229927510017,NA,FREEMAN FOR DISTRICT ATTORNEY,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,FREEMAN FOR DISTRICT ATTORNEY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,FREEMAN FOR DISTRICT ATTORNEY,400,400,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR00108266229927510017,AR00108266229927510017
