advertiser_id,advertiser_name,wmp_office,wmp_spontype,wmp_spontype_new,wmpid,cand_id
AR11614791204289380353,GABE VASQUEZ FOR CONGRESS,us house,campaign,,WMPID4014,H2NM02191
AR17267276372678541313,KEAN FOR CONGRESS INC,us house,campaign,,WMPID444,H0NJ07261
AR03961322210538291201,Ben Cantu for Manteca Mayor 2022,down ballot,campaign,campaign,,
AR06570466670505099265,KANSAS REPUBLICAN PARTY,,party,party,,
AR01324533691786985473,KEVIN COMBS,,unclear could be campaign,unclear could be campaign,,
AR03237320741682675713,ROSEMARY BAYER FOR SENATE,down ballot,campaign,campaign,,
AR03121469943107813377,NATIONAL IMMIGRATION FORUM,,group,group,,
AR03965271725024739329,JUAN CARLOS JC BERMUDEZ CAMPAIGN,down ballot,campaign,campaign,,
AR16552908481108115457,Arizona Free Enterprise Club,,group,group,,
AR12231407564348194817,Wexton for Congress,us house,campaign,campaign,WMPID1270,H8VA10106
AR11480150851507453953,HENRY MCMASTER FOR GOVERNOR,governor,campaign,campaign,,
AR05410289213788651521,At Ya Communications,,group,group,,
AR14930848248515002369,Corbin for Congress,us house,campaign,,WMPID2457,H2GA07121
AR12040088417946566657,MARK BLAXILL FOR CONGRESS,us house - not in our 2022 FEC cd file,campaign,,,
AR08881535383607705601,"AMERICAN FEDERATION FOR CHILDREN ACTION FUND, INC.",,group,group,,
AR06812169837737934849,People for Rebecca Kleefisch,governor,campaign,campaign,,
AR18257409683235012609,Friends of Andrew Kalloch,us house,campaign,,WMPID3688,H2OR04103
AR03678080318641799169,Friends of Katherine Harake,down ballot,campaign,campaign,,
AR13320236612026630145,ArcaMax Publishing Inc,,group,group,,
AR17525469396829470721,Nichole Loati,,unclear could be campaign,unclear could be campaign,,
AR09694473599255052289,McSwain for Governor,governor,campaign,campaign,,
AR07588540495668707329,Friends of Lisa Davidson,down ballot,campaign,campaign,,
AR00676015345445634049,CLEAVER FOR CONGRESS,us house,campaign,,WMPID898,H4MO05234
AR09422996481775763457,Friends of Denyse Wang Stoneback,down ballot,campaign,campaign,,
AR03065174947765682177,"AMERICAN MOMENT, INC.",,group,group,,
AR02725153175899209729,MARKET INSTITUTE FOUNDATION,,group,group,,
AR11531942247222214657,STEPHEN COHEN,down ballot,campaign,campaign,,
AR16180305430931570689,DEMOCRATIC STATE CENTRAL COMMITTEE,,party,party,,
AR09858854985654075393,JENA GRISWOLD FOR COLORADO,down ballot,campaign,campaign,,
AR15389640640803373057,Krizek for Delegate,down ballot,campaign,campaign,,
AR11633273238838050817,REP. BYRON DONALDS - U.S. HOUSE OF REPRESENTATIVES,us house,government official,government official,WMPID158,H2FL14186
AR09012178255708422145,KEMP FOR GOVERNOR INC,governor,campaign,campaign,,
AR01146109549036437505,Jennifer Pawlik for AZ House,down ballot,campaign,campaign,,
AR02457993290826383361,Advance Minnesota Independent Expenditure Committee,,group,group,,
AR04940924192565493761,"POET, LLC",,group,group,,
AR17402468199261274113,COMMON SENSE LEADERSHIP FUND INC.,,group,,,
