advertiser_id,advertiser_name,public_ids_list,public_id_short,CMTE_ID,ein_id,date_wmpcoded,wmp_candidate,wmp_office,wmp_spontype,wmp_spontypelong,wmp_govtorcand,wmp_notes,search_status,search_terms,search_type,search_notes,needs_further_coding,cand_fav,cand_tar,sponsor_name,sponsor_cmag,wmp_dateout,wmp_datein,pres_fecid,sen_fecid,hse_fecid,sen_cycle,hse_cycle,sen_state,hse_state,pres_party,sen_party,hse_party,pres_cdstatus,sen_cdstatus,hse_cdstatus,hse_district,wmp_pres,wmp_sen,wmp_hse,wmp_gov,cmte_fecid,cmte_party,LINKAGE_ID,CMTE_TP,CMTE_DSGN,wmp_groupflag,wmp_multisponsor,CAND_ELECTION_YR,FEC_ELECTION_YR,type_cmag,type_scsp,wmp_grouptype,cycle2020_cd,disclosure
AR526034331555069952,"UNITED FOR CLEAN POWER, INC.",EIN ID 47-2886317,47-2886317,,47-2886317,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR61707547488288768,"PRIVATE INTERNET ACCESS, INC.",EIN ID 26-24631262,26-24631262,,26-24631262,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR475293519200649216,"LAMARK MEDIA GROUP, LLC",EIN ID 27-5010215,27-5010215,,27-5010215,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR216618084323033088,KOHL FOR CONGRESS,FEC ID C00647164,C00647164,C00647164,,8/11/2020,,us house,campaign,campaign,1,need candidate name from full fec file (not a 2020 cand),,,,,,,,,,,,,,H8WI06098,,2018,,,,,,,,,,0,0,1,0,,,,,,0,0,2018,2020,0,0,,0,
AR403046534284836864,GEORGETTE GOMEZ FOR CONGRESS,FEC ID C00719112,C00719112,C00719112,,9/29/2020,,us house,campaign,campaign,1,,,,,,,"GOMEZ, GEORGETTE",,"GOMEZ, GEORGETTE","GOMEZ, GEORGETTE",,,,,H0CA53107,,,,CA,,,DEM,,,OPEN,53,0,0,1,0,C00719112,,,,,0,0,,,0,0,,1,
AR536720004029087744,"STEIL FOR WISCONSIN, INC.",FEC ID C00677286,C00677286,C00677286,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"STEIL, BRYAN GEORGE",,"STEIL, BRYAN GEORGE","STEIL, BRYAN",,,,,H8WI01156,,,,WI,,,REP,,,INCUMBENT,1,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR503710672098426880,CITIZEN ACTION/ILLINOIS,EIN ID 36-4163480,36-4163480,,36-4163480,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR859955531874304,PETER MEIJER FOR CONGRESS,EIN ID 84-2265750,84-2265750,,84-2265750,9/10/2020,,us house,campaign,campaign,1,,,,,,,"MEIJER, PETER MR.",,"MEIJER, PETER MR.","MEIJER, PETER",,,,,H0MI03308,,,,MI,,,REP,,,CHALLENGER,3,0,0,1,0,,,,,,0,0,,,0,0,,1,
AR232372436681621504,FRIENDS OF MARC FRIEDENBERG,FEC ID C00655084,C00655084,C00655084,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"FRIEDENBERG, MARC",,"FRIEDENBERG, MARC","FRIEDENBERG, MARC",,,,,H8PA05204,,,,PA,,,DEM,,,OPEN,12,0,0,1,0,,,,,,0,0,2019,2020,0,0,,1,
AR426381813158510592,BRIGHT FOR CONGRESS,FEC ID C00446138,C00446138,C00446138,,9/10/2020,,us house,campaign,campaign,1,,,,,,,"BRIGHT, LEE",,"BRIGHT, LEE","BRIGHT, LEE",,,,,H8SC04342,,,,SC,,,REP,,,OPEN,4,0,0,1,0,,,,,,0,0,,,0,0,,1,
AR164198867468812288,"PLANNED PARENTHOOD ACTION FUND, INC.",EIN ID 13-3539048,13-3539048,,13-3539048,9/7/2020,,,group,group,0,,1,planned parenthood action fund,CMAG,,,,,PLANNED PARENTHOOD ACTION FUND,PLANNED PARENTHOOD ACTION FUND,,,,,,,,,,,,,,,,,0,0,0,0,,DEM,,,,1,0,,,1,0,,,
AR380975762502582272,COOKIES RETAIL LLC,EIN ID 84-2952906,84-2952906,,84-2952906,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR438185963835883520,ALASKANS FOR BETTER ELECTIONS,EIN ID 84-2283567,84-2283567,,84-2283567,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR220117417517383680,JULIE OLIVER FOR CONGRESS,FEC ID C00700716,C00700716,C00700716,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"OLIVER, JULIE LYNN",,"OLIVER, JULIE LYNN","OLIVER, JULIE",,,,,H8TX25159,,,,TX,,,DEM,,,CHALLENGER,25,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR143716065354973184,NADLER FOR CONGRESS,FEC ID C00290825,C00290825,C00290825,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"NADLER, JERROLD L.",,"NADLER, JERROLD L.","NADLER, JERROLD L.",,,,,H2NY17071,,,,NY,,,DEM,,,INCUMBENT,10,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR473552854854926336,JASON ORTIZ,,,,,12/2/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR24817557986869248,SENATE REPUBLICAN CAUCUS CAMPAIGN COMMITTEE,EIN ID 20-2703636,20-2703636,,20-2703636,12/2/2020,,,party,party,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR528573928537325568,MARTIN FOR FREEDOM,FEC ID C00698373,,C00698373,,10/13/2020,,us house,campaign,campaign,1,,,,,,,"MARTIN, BRANDON RAY",,"MARTIN, BRANDON RAY","MARTIN, BRANDON",,,,,H0AZ02190,,,,AZ,,,REP,,,CHALLENGER,2,0,0,1,0,C00698373,REP,,,,0,0,,,0,0,,1,
AR13176547347267584,PENSLER FOR SENATE,FEC ID C00663278,C00663278,C00663278,,9/10/2020,,us senate,campaign,campaign,1,,,,,,,"PENSLER, SANDY",,"PENSLER, SANDY","PENSLER, SANDY",,,,S8MI00414,,,,MI,,,REP,,,CHALLENGER,,,0,1,0,0,,,,,,0,0,,,0,0,,1,
AR304610900382318592,ELAINE FOR CONGRESS,FEC ID C00664375,C00664375,C00664375,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"LURIA, ELAINE",,"LURIA, ELAINE","LURIA, ELAINE",,,,,H8VA02111,,,,VA,,,DEM,,,INCUMBENT,2,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR97770772965097472,MARK GREEN FOR CONGRESS,FEC ID C00658385,C00658385,C00658385,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"GREEN, MARK DR.",,"GREEN, MARK DR.","GREEN, MARK DR.",,,,,H8TN07076,,,,TN,,,REP,,,INCUMBENT,7,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR148592880460496896,JOE KELLY FOR STATE REP,EIN ID 85-0825014,85-0825014,,85-0825014,12/2/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR5750102215884800,COMMITTEE TO ELECT JOANNA MENDOZA,EIN ID 84-2636114,84-2636114,,84-2636114,12/2/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR41964922858373120,MONTANANS FOR BULLOCK,EIN ID 84-5016177,84-5016177,,84-5016177,5/12/2020,,us senate,campaign,campaign,1,,,,,,,"BULLOCK, STEVE",,"BULLOCK, STEVE","BULLOCK, STEVE",,,,S0MT00173,,,,MT,,,DEM,,,CHALLENGER,,,0,1,0,0,,,,,,0,0,,,0,0,,1,
AR461110987433443328,COLIN ALLRED FOR CONGRESS,FEC ID C00637868,C00637868,C00637868,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"ALLRED, COLIN",,"ALLRED, COLIN","ALLRED, COLIN",,,,,H8TX32098,,,,TX,,,DEM,,,INCUMBENT,32,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR138287295412305920,CONCERNED CITIZEN,FEC ID C00740514,C00740514,C00740514,,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
